id,title,company,location,created,description,latitude,longitude,salary_min,salary_max,redirect_url
5313276128,Product Data Analyst,Harnham,"Orpington, London",2025-07-20T08:19:16Z,"Product Data Analyst Orpington (3 days a week) Up to £70,000 plus benefits Passionate about understanding user behaviour and fueling product decisions? Join our rapidly growing, entertainment-focused membership disrupting the market. We offer daily luxury prize wins and exclusive rewards to a growing audience. As a Product Data Analyst , you'll be key in analysing user journeys and identifying opportunities to improve engagement and drive product-led growth. Your Looker Studio and BigQuery expe…",51.3741,0.0986,49856.26,49856.26,https://www.adzuna.co.uk/jobs/land/ad/5313276128?se=eLpRAe1o8BGOTMe40IxpVA&utm_medium=api&utm_source=71ed0f1d&v=DD0BDEB0873AC8B00D7891776DCC1411BA5C8746
5270940436,Sales Data Analyst,Penta Consulting,"Epsom, Surrey",2025-06-27T07:08:09Z,"SCHEDULE A: Job Description JOB TITLE: Sales Data Analyst REPORTS TO: Group Managing Director LOCATION: Penta Consulting Ltd, Epsom, Surrey, KT18 7RG ABOUT PENTA CONSULTING LTD We are looking to hire a Sales Data Analyst to join our team! You will be an integral part of our global team with a key focus to review and enhance our analysis of our current sales reporting, identifying areas for targeted reporting and analysis of business written and providing necessary weekly, monthly and reporting …",51.3307,-0.270059,38989.43,38989.43,https://www.adzuna.co.uk/jobs/land/ad/5270940436?se=eLpRAe1o8BGOTMe40IxpVA&utm_medium=api&utm_source=71ed0f1d&v=69B3DB0FE78E08F87BE4D7688BA76619D4CF24A0
5288377143,Senior Data Analyst,Harnham,"London, UK",2025-07-06T02:51:19Z,"Senior Data Analyst Remote (UK-Based) Up to £60,000  Benefits Fintech | Personal Loans | Full Data Ownership We’re hiring a Senior Data Analyst to join a fast-scaling fintech that’s redefining how personal loans are delivered. Backed by a trusted UK insurance brand, the business has already lent £500M to over 50,000 customers since 2019, and they’re just getting started. This is a remote-first role (UK-based), where you’ll play a key part in building and optimising a modern data ecosystem, from…",,,70697.42,70697.42,https://www.adzuna.co.uk/jobs/land/ad/5288377143?se=eLpRAe1o8BGOTMe40IxpVA&utm_medium=api&utm_source=71ed0f1d&v=52DFEA93197DE0A7B022F6E1CF3FBABC1AA14319
5288377681,Senior Data Analyst,Harnham,"The City, Central London",2025-07-06T02:51:40Z,"Senior Data Analyst Remote (UK-Based) Up to £60,000  Benefits Fintech | Personal Loans | Full Data Ownership We’re hiring a Senior Data Analyst to join a fast-scaling fintech that’s redefining how personal loans are delivered. Backed by a trusted UK insurance brand, the business has already lent £500M to over 50,000 customers since 2019, and they’re just getting started. This is a remote-first role (UK-based), where you’ll play a key part in building and optimising a modern data ecosystem, from…",,,71558.62,71558.62,https://www.adzuna.co.uk/jobs/land/ad/5288377681?se=eLpRAe1o8BGOTMe40IxpVA&utm_medium=api&utm_source=71ed0f1d&v=3433F0942D43195EFB4FDBE9EB3712CFCC0BDD73
5317502475,Senior Data Analyst,JSS Search,"London, UK",2025-07-23T03:53:13Z,"Job Title: Senior Data Analyst Location: London 3x a week Salary: U p to £75,000 About the Role We are seeking a Senior Data Analyst to join our growing analytics team. This is a high-impact role focused on driving insights into customer behaviour, lifetime value, churn, and retention, while also supporting campaign analytics across the business. You’ll work closely with stakeholders across marketing, product, and customer teams to inform strategic decisions, influence growth initiatives, and h…",,,51819.22,51819.22,https://www.adzuna.co.uk/jobs/land/ad/5317502475?se=eLpRAe1o8BGOTMe40IxpVA&utm_medium=api&utm_source=71ed0f1d&v=EE748669FE7AA68E369F1CD0B3F5DE07D8015BF2
5319512302,Senior Data Analyst,JSS Search,"The City, Central London",2025-07-24T05:57:59Z,"Job Title: Senior Data Analyst Location: London 3x a week Salary: U p to £75,000 About the Role We are seeking a Senior Data Analyst to join our growing analytics team. This is a high-impact role focused on driving insights into customer behaviour, lifetime value, churn, and retention, while also supporting campaign analytics across the business. You’ll work closely with stakeholders across marketing, product, and customer teams to inform strategic decisions, influence growth initiatives, and h…",,,52450.56,52450.56,https://www.adzuna.co.uk/jobs/land/ad/5319512302?se=eLpRAe1o8BGOTMe40IxpVA&utm_medium=api&utm_source=71ed0f1d&v=D5C114DE2C9B4A54692B5B18789EAE229624C061
5313281995,Senior Data Analyst,Harnham,"The City, Central London",2025-07-20T08:21:12Z,"Senior Data Analyst Salary: Up to £60,000 Location: Central London - 2 days a week in office (flexible - your choice to choose the days) Join an established data insights consultancy, helping major brands in telecoms, utilities, and finance unlock the value of their customer data. ROLE AND RESPONSIBILITIES Collaborate with Project Managers and Business Analysts to deliver client-focused data projects. Communicate findings confidently to clients, turning technical outputs into business value. Wo…",,,47601.22,47601.22,https://www.adzuna.co.uk/jobs/land/ad/5313281995?se=eLpRAe1o8BGOTMe40IxpVA&utm_medium=api&utm_source=71ed0f1d&v=9D7ED31BFCEB157C6D26F13213D1DFB66E2DDA6F
5313277472,Senior Data Analyst,Harnham,"London, UK",2025-07-20T08:20:01Z,"Senior Data Analyst Salary: Up to £60,000 Location: Central London - 2 days a week in office (flexible - your choice to choose the days) Join an established data insights consultancy, helping major brands in telecoms, utilities, and finance unlock the value of their customer data. ROLE AND RESPONSIBILITIES Collaborate with Project Managers and Business Analysts to deliver client-focused data projects. Communicate findings confidently to clients, turning technical outputs into business value. Wo…",,,47028.26,47028.26,https://www.adzuna.co.uk/jobs/land/ad/5313277472?se=eLpRAe1o8BGOTMe40IxpVA&utm_medium=api&utm_source=71ed0f1d&v=D3F522975B01C2F548C03D85830DC68AD608C2A0
5313282509,Commercial Data Analyst,Harnham,"The City, Central London",2025-07-20T08:21:21Z,"Data Analyst – Commercial Business Partnering Hybrid – 1–2 days/week in Central London £42,700–£53,700  bonus If you're craving a hands-on analytics role that goes beyond the dashboards — where your insights directly inform pricing, product, market expansion, and revenue forecasting — this could be your next move. I’m working with a global entertainment & brand engagement business that has evolved far beyond its publishing roots. Now operating at the intersection of media, brand consultancy, an…",,,54077.29,54077.29,https://www.adzuna.co.uk/jobs/land/ad/5313282509?se=eLpRAe1o8BGOTMe40IxpVA&utm_medium=api&utm_source=71ed0f1d&v=FB5560A9C414D63B1BE58E6380DF27A4B2AFC273
5313280986,Commercial Data Analyst,Harnham,"London, UK",2025-07-20T08:20:56Z,"Data Analyst – Commercial Business Partnering Hybrid – 1–2 days/week in Central London £42,700–£53,700  bonus If you're craving a hands-on analytics role that goes beyond the dashboards — where your insights directly inform pricing, product, market expansion, and revenue forecasting — this could be your next move. I’m working with a global entertainment & brand engagement business that has evolved far beyond its publishing roots. Now operating at the intersection of media, brand consultancy, an…",,,53426.42,53426.42,https://www.adzuna.co.uk/jobs/land/ad/5313280986?se=eLpRAe1o8BGOTMe40IxpVA&utm_medium=api&utm_source=71ed0f1d&v=26B5C8010D1E33279B74929310F9E644272BB0A2
